hour,plug,value
303,6,181884.55200000035
303,7,34319.89200000005
303,9,1676.158999999997
303,11,31409.989000000067
304,2,65204.84299999989
304,5,227716.635
304,6,177987.45899999948
304,7,35117.33199999995
304,9,1778.958999999997
304,11,32195.05300000002
305,0,13485.439999999991
305,1,74530.45799999985
305,2,60871.296999999926
305,5,223333.9150000011
305,6,173235.019
305,7,30989.922999999962
305,8,53529.15099999999
305,9,1642.318999999996
305,11,28412.39100000005
306,0,2230.204999999999
306,1,61161.322999999895
306,2,65497.36899999979
306,5,231124.1260000007
306,6,178868.588999999
306,7,33593.23999999998
306,8,8937.841
306,9,1750.0829999999978
306,11,30880.743000000082
307,1,12233.479
307,2,66665.86999999978
307,5,233300.70700000017
307,6,180787.1889999996
307,7,34029.97399999998
307,9,1777.2089999999987
307,11,31319.48900000005
308,1,92775.55900000014
308,2,66631.12599999993
308,5,236351.76500000112
308,6,183489.6119999998
308,7,33341.17799999995
308,9,1649.3099999999977
308,11,30524.611999999994
309,1,26999.642999999942
309,2,67151.48499999975
309,5,235406.07200000112
309,6,182979.6909999999
309,7,34039.02599999995
309,9,1705.5499999999995
309,11,31203.231000000003
310,1,49907.22899999988
310,2,63623.989999999794
310,5,130786.85500000013
310,6,101879.61400000082
310,7,32650.76299999995
310,9,1766.930999999997
310,11,30027.38300000002
311,1,79584.31099999983
311,2,61717.17099999988
311,5,6463.264999999999
311,6,5032.433999999993
311,7,32126.314000000028
311,9,1742.9749999999997
311,11,29585.77899999998
312,2,64657.1299999996
312,5,5948.0199999999495
312,6,4626.490999999981
312,7,34266.569999999985
312,9,1820.329
312,11,31299.01700000001
313,1,84494.52599999991
313,2,17657.954999999864
313,5,4659.08999999996
313,6,3616.3230000000053
313,7,32653.316000000024
313,9,1762.6010000000006
313,11,30003.398000000063
314,1,41713.69500000006
314,2,16925.018999999855
314,5,4580.607999999961
314,6,3575.124999999997
314,7,33732.344
314,9,1790.951
314,11,30833.248000000032
315,1,31845.584000000017
315,2,17093.058999999834
315,5,4618.958999999954
315,6,3591.5299999999984
315,7,33917.74299999996
315,9,1822.1169999999977
315,11,31033.401000000045
316,1,89264.86299999981
316,2,17589.526999999824
316,5,4741.951999999962
316,6,3676.9330000000004
316,7,33377.300999999934
316,9,1765.2779999999968
316,11,30564.36400000002
317,1,5819.712000000003
317,2,17490.145999999797
317,5,4721.820999999953
317,6,3672.078000000005
317,7,33976.404999999926
317,9,1685.5430000000001
317,11,31237.668000000074
318,1,66823.87999999971
318,2,17324.96499999984
318,5,4703.852999999957
318,6,3667.913000000003
318,7,33357.41799999997
318,9,1636.1119999999974
318,11,30491.035999999996
