min,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class11
5824,11274.101000000002,1,1,1,1,1,1,1,1,1,1,1
5825,10908.294000000002,1,1,1,1,1,1,1,1,1,1,1
5826,10983.892999999998,1,1,1,1,1,1,1,1,1,1,1
5827,11479.719999999994,1,1,1,1,1,1,1,1,1,1,1
5828,11114.785,1,1,1,1,1,1,1,1,1,1,1
5829,12016.483999999997,1,1,1,1,1,1,1,1,1,1,1
5830,11330.658999999998,1,1,1,1,1,1,1,1,1,1,1
5831,11286.074,1,1,1,1,1,1,1,1,1,1,1
5832,10114.16,1,1,1,1,1,1,1,1,1,1,1
5833,10805.087999999996,1,1,1,1,1,1,1,1,1,1,1
5834,10499.002,1,1,1,1,1,1,1,1,1,1,1
5835,11131.558999999996,1,1,1,1,1,1,1,1,1,1,1
5836,10497.954999999998,1,1,1,1,1,1,1,1,1,1,1
5837,10846.595999999996,1,1,1,1,1,1,1,1,1,1,1
5838,10583.031,1,1,1,1,1,1,1,1,1,1,1
5839,12160.159000000003,1,1,1,1,1,1,1,1,1,1,1
5840,11575.529,1,1,1,1,1,1,1,1,1,1,1
5841,10274.041000000001,1,1,1,1,1,1,1,1,1,1,1
5842,10333.430000000004,1,1,1,1,1,1,1,1,1,1,1
5843,10521.847000000002,1,1,1,1,1,1,1,1,1,1,1
5844,11418.359000000004,1,1,1,1,1,1,1,1,1,1,1
5845,11940.951999999997,1,1,1,1,1,1,1,1,1,1,1
5846,9675.855000000001,1,1,1,1,1,1,1,1,1,1,1
5847,10639.439000000002,1,1,1,1,1,1,1,1,1,1,1
5848,10769.590999999997,1,1,1,1,1,1,1,1,1,1,1
5849,10673.099,1,1,1,1,1,1,1,1,1,1,1
5850,11538.141999999996,1,1,1,1,1,1,1,1,1,1,1
5851,10830.437000000002,1,1,1,1,1,1,1,1,1,1,1
5852,10177.6,1,1,1,1,1,1,1,1,1,1,1
5853,10728.642999999996,1,1,1,1,1,1,1,1,1,1,1
5854,10509.786999999998,1,1,1,1,1,1,1,1,1,1,1
5855,10675.478000000003,1,1,1,1,1,1,1,1,1,1,1
5856,9854.39,1,1,1,1,1,1,1,1,1,1,1
5857,11200.817000000001,1,1,1,1,1,1,1,1,1,1,1
5858,11106.916,1,1,1,1,1,1,1,1,1,1,1
5859,10622.033000000003,1,1,1,1,1,1,1,1,1,1,1
5860,11490.169000000002,1,1,1,1,1,1,1,1,1,1,1
5861,11473.050000000001,1,1,1,1,1,1,1,1,1,1,1
5862,11817.622000000001,1,1,1,1,1,1,1,1,1,1,1
5863,10959.792999999998,1,1,1,1,1,1,1,1,1,1,1
5864,11446.459999999997,1,1,1,1,1,1,1,1,1,1,1
5865,10639.927,1,1,1,1,1,1,1,1,1,1,1
5866,9908.074000000004,1,1,1,1,1,1,1,1,1,1,1
5867,10319.667000000001,1,1,1,1,1,1,1,1,1,1,1
5868,11537.222999999994,1,1,1,1,1,1,1,1,1,1,1
5869,10440.722,1,1,1,1,1,1,1,1,1,1,1
5870,10819.680999999993,1,1,1,1,1,1,1,1,1,1,1
5871,10432.404999999999,1,1,1,1,1,1,1,1,1,1,1
5872,11160.199000000002,1,1,1,1,1,1,1,1,1,1,1
5873,10262.333000000002,1,1,1,1,1,1,1,1,1,1,1
5874,10746.375000000002,1,1,1,1,1,1,1,1,1,1,1
5875,11486.307999999999,1,1,1,1,1,1,1,1,1,1,1
5876,11089.004,1,1,1,1,1,1,1,1,1,1,1
5877,10577.091,1,1,1,1,1,1,1,1,1,1,1
5878,10646.311999999998,1,1,1,1,1,1,1,1,1,1,1
5879,11029.497000000001,1,1,1,1,1,1,1,1,1,1,1
5880,11209.500999999998,1,1,1,1,1,1,1,1,1,1,1
5881,10877.190999999999,1,1,1,1,1,1,1,1,1,1,1
5882,6373.888000000002,1,1,1,1,1,1,1,1,1,1,1
5883,6768.322000000002,1,1,1,1,1,1,1,1,1,1,1
5884,13363.833999999999,1,1,1,1,1,1,1,1,1,1,1
5885,12211.797,1,1,1,1,1,1,1,1,1,1,1
5886,11417.993999999999,1,1,1,1,1,1,1,1,1,1,1
5887,10712.716000000004,1,1,1,1,1,1,1,1,1,1,1
5888,10854.483999999997,1,1,1,1,1,1,1,1,1,1,1
5889,11753.844000000001,1,1,1,1,1,1,1,1,1,1,1
5890,10277.005999999998,1,1,1,1,1,1,1,1,1,1,1
5891,10915.651000000002,1,1,1,1,1,1,1,1,1,1,1
5892,10677.532,1,1,1,1,1,1,1,1,1,1,1
5893,10920.265999999998,1,1,1,1,1,1,1,1,1,1,1
5894,10588.484999999999,1,1,1,1,1,1,1,1,1,1,1
5895,10519.670000000002,1,1,1,1,1,1,1,1,1,1,1
5896,10581.312000000002,1,1,1,1,1,1,1,1,1,1,1
5897,11062.737000000001,1,1,1,1,1,1,1,1,1,1,1
5898,11436.353,1,1,1,1,1,1,1,1,1,1,1
5899,10226.556000000002,1,1,1,1,1,1,1,1,1,1,1
5900,11193.593999999997,1,1,1,1,1,1,1,1,1,1,1
5901,10888.144,1,1,1,1,1,1,1,1,1,1,1
5902,11117.168999999998,1,1,1,1,1,1,1,1,1,1,1
5903,10304.334000000003,1,1,1,1,1,1,1,1,1,1,1
5904,11129.100000000004,1,1,1,1,1,1,1,1,1,1,1
5905,10482.565999999995,1,1,1,1,1,1,1,1,1,1,1
5906,11642.623000000001,1,1,1,1,1,1,1,1,1,1,1
5907,10889.697999999999,1,1,1,1,1,1,1,1,1,1,1
5908,10259.372,1,1,1,1,1,1,1,1,1,1,1
5909,10470.547000000002,1,1,1,1,1,1,1,1,1,1,1
5910,10350.069000000001,1,1,1,1,1,1,1,1,1,1,1
5911,10552.092,1,1,1,1,1,1,1,1,1,1,1
5912,9906.075000000004,1,1,1,1,1,1,1,1,1,1,1
5913,9731.139999999998,1,1,1,1,1,1,1,1,1,1,1
5914,10516.921000000002,1,1,1,1,1,1,1,1,1,1,1
5915,10717.153,1,1,1,1,1,1,1,1,1,1,1
5916,10470.542999999996,1,1,1,1,1,1,1,1,1,1,1
5917,11085.609,1,1,1,1,1,1,1,1,1,1,1
5918,10139.059000000001,1,1,1,1,1,1,1,1,1,1,1
5919,11099.329999999996,1,1,1,1,1,1,1,1,1,1,1
5920,11306.823,1,1,1,1,1,1,1,1,1,1,1
5921,10341.515,1,1,1,1,1,1,1,1,1,1,1
5922,11397.933999999997,1,1,1,1,1,1,1,1,1,1,1
5923,11183.437,1,1,1,1,1,1,1,1,1,1,1
5924,10994.066999999997,1,1,1,1,1,1,1,1,1,1,1
5925,10663.727,1,1,1,1,1,1,1,1,1,1,1
5926,10444.510999999999,1,1,1,1,1,1,1,1,1,1,1
5927,11437.412,1,1,1,1,1,1,1,1,1,1,1
