HH,hour,agg,class0,class1,class2,class3,class4,class5,class6,class7,class8,class9,class10,class11,class12,class13
9,14,1644469.2540000002,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,14,1214983.5729999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,14,34591.43000000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,14,569653.9509999987,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,1869045.3590000002,1,1,0,1,0,1,0,1,0,0,0,1,0,0
0,15,580594.9890000002,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,15,1816070.7239999997,0,0,0,0,0,1,0,0,0,0,1,0,1,0
2,15,861468.8250000007,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,15,513270.34599999955,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,15,22068.85599999998,1,0,1,0,0,0,0,0,0,0,0,0,0,0
5,15,2924.8200000000083,0,0,1,0,0,0,0,0,0,0,0,0,0,0
6,15,1293512.5430000029,0,0,0,0,0,0,0,0,0,1,1,0,0,0
7,15,845967.9400000017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,15,690168.171,0,0,0,1,1,0,0,0,0,0,0,0,0,0
9,15,1647567.2729999986,0,1,0,0,1,0,0,0,0,0,0,0,0,0
10,15,1216909.8129999973,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,15,40883.63900000005,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12,15,582806.4510000007,1,0,0,0,1,0,0,0,0,0,0,0,0,0
13,15,1862280.5020000003,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,16,547112.2849999992,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,16,1753947.9429999986,0,0,0,1,0,1,0,0,0,0,0,0,0,0
2,16,833193.2750000013,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,16,503632.1980000003,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,16,76853.13800000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,16,10163.783999999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,16,1258851.354999998,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7,16,829508.793000001,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,16,657369.5899999988,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,16,1607242.8810000047,0,1,0,0,0,0,0,1,1,0,0,0,0,0
10,16,1171105.291999999,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11,16,56290.353000000025,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12,16,568822.125999997,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,16,1819794.0570000042,1,1,0,1,0,0,0,1,0,0,0,0,0,0
0,17,546746.0009999985,0,0,0,0,0,1,1,1,0,0,0,1,0,0
1,17,1705589.2929999968,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2,17,796952.9080000028,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,17,489564.8079999991,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,17,18642.410000000007,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,17,2482.683000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,17,1237777.839,0,0,0,0,1,0,0,0,0,0,1,0,0,0
7,17,806108.6549999996,0,0,0,0,0,0,1,0,0,0,0,0,0,0
8,17,647662.7219999996,0,0,0,0,1,0,0,0,0,1,0,0,0,0
9,17,1524980.6300000004,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,17,1124632.4990000003,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,17,39711.59199999992,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,17,534801.245000003,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,17,1749795.3989999995,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,18,544092.704,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,18,1820967.940999996,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,18,977681.2849999969,0,0,1,0,1,0,0,0,0,0,0,0,0,0
3,18,493791.93699999875,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,18,17761.28399999999,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,18,1263323.8589999957,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,18,908272.5329999976,1,1,1,0,1,0,0,0,0,0,0,0,0,0
8,18,627792.588999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,18,1796822.906999999,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,18,1173480.360999996,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,18,33700.87900000014,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,18,701855.3149999997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,18,1820780.0780000028,1,1,1,1,0,0,0,0,0,0,0,0,0,0
0,19,567498.6090000005,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1,19,1939872.2649999957,1,0,1,1,1,0,0,0,0,0,0,0,0,0
2,19,1045664.5960000001,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,19,506833.8240000003,1,1,0,1,0,0,0,0,0,0,0,0,0,0
4,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,19,7246.798000000004,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,19,1323031.7020000017,1,0,1,0,1,1,0,0,0,0,0,1,0,0
7,19,958850.376999999,1,0,0,0,0,0,1,1,0,0,0,0,0,0
8,19,673041.1189999991,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,19,1947414.4279999975,0,0,0,0,0,0,0,1,1,0,0,0,0,0
10,19,1215797.7209999983,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,19,62302.3479999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,19,779880.9150000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,19,1857084.3909999947,1,1,0,1,0,1,0,0,0,0,0,1,0,0
0,20,199975.18299999877,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,20,919092.8629999986,0,1,0,0,0,1,1,0,0,0,0,0,0,0
2,20,638356.0230000016,0,1,0,0,0,1,1,0,0,0,0,0,0,0
3,20,507816.1809999986,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4,20,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,20,3528.7239999999965,1,1,0,0,0,0,0,0,0,0,0,0,0,0
6,20,1061001.288000003,0,0,0,0,0,0,0,0,0,0,1,0,1,0
7,20,919836.7750000017,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,20,212535.50400000048,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,20,1257931.8140000026,0,1,0,0,0,0,0,0,0,1,1,0,0,0
10,20,628293.3459999991,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11,20,52581.39099999947,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,20,233312.03900000022,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13,20,1556478.1440000015,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,21,188578.03900000046,0,0,1,0,0,1,1,0,0,0,0,0,0,0
1,21,721489.6939999994,1,0,0,1,1,1,0,0,0,0,0,0,0,0
2,21,558005.0250000003,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,21,532100.0430000016,0,1,0,1,0,0,0,0,0,0,0,0,0,0
4,21,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,21,1663.3390000000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
